description,category
PAYTM WALLET ONLINE,transfers
HOUSE RENT TRANSFER TXN8088,rent
ADOBE CREATIVE CLOUD PMT,subscriptions
STARBUCKS REF 9395,dining
LINKEDIN PREMIUM STORE 6648,subscriptions
NEFT TRANSFER - CARD,transfers
DECATHLON POS,shopping
MUNICIPAL WATER TAX REF 6628,utilities
AT&T WIRELESS *8766,utilities
DISNEY PLUS POS,subscriptions
APARTMENT RENT PMT,rent
UPI TRANSFER ONLINE,transfers
APARTMENT RENT STORE 4525,rent
HP PETROL PUMP POS,transport
MCDONALDS,dining
MONTHLY RENT PAYMENT ONLINE,rent
IMPS PAYMENT *7278,transfers
FREELANCE PAYMENT PMT,income
DIVIDEND PAYOUT *634,income
VENMO PAYMENT POS,transfers
SWIGGY ORDER - CARD,dining
AUDIBLE #6411,subscriptions
PAYTM WALLET STORE 6027,transfers
BIG BAZAAR ONLINE,groceries
ZOMATO STORE 7497,dining
PAYTM WALLET PMT,transfers
SAFEWAY STORE ONLINE,groceries
VENMO PAYMENT POS,transfers
PARKING FEE STORE 5283,transport
LYFT RIDE #9849,transport
PARKING FEE,transport
H&M ONLINE,shopping
WHOLE FOODS MKT STORE 4903,groceries
ACCOUNT TRANSFER ONLINE,transfers
DISNEY PLUS TXN8586,subscriptions
IKEA PMT,shopping
DISNEY PLUS REF 2514,subscriptions
APARTMENT RENT POS,rent
DOORDASH - CARD,dining
GOOGLE PAY SENT #572,transfers
INDIAN OIL #8523,transport
MICROSOFT 365 - CARD,subscriptions
SWIGGY ORDER PMT,dining
SHELL FUEL REF 8886,transport
FLIPKART POS,shopping
SHELL FUEL #7360,transport
AT&T WIRELESS REF 8388,utilities
ADOBE CREATIVE CLOUD PMT,subscriptions
BROADBAND INTERNET REF 1784,utilities
HOUSE RENT TRANSFER PMT,rent
PARKING FEE ONLINE,transport
UBER TRIP STORE 341,transport
PG ACCOMMODATION RENT #9372,rent
LANDLORD RENT - CARD,rent
GAS BILL *2747,utilities
PUBLIX - CARD,groceries
MONTHLY RENT PAYMENT POS,rent
TARGET REF 7549,shopping
PANERA BREAD #4989,dining
LANDLORD RENT POS,rent
NEFT TRANSFER ONLINE,transfers
HOUSE RENT TRANSFER - CARD,rent
UBER EATS PMT,dining
ELECTRIC BILL PAYMENT TXN5542,utilities
LINKEDIN PREMIUM STORE 5525,subscriptions
OLA CABS PMT,transport
PAYROLL DEPOSIT TXN143,income
HP PETROL PUMP PMT,transport
UPI TRANSFER TXN7808,transfers
STARBUCKS *8301,dining
